stop_id,stop_name,lat,lon,place_id,gmaps_name,rating,user_ratings_total,vicinity
H00052P,Explorer Tanah Abang,-6.184305,106.81158,ChIJw9SCfoT2aS4RoYnlw9fEBdw,Explorer Tanah Abang,1.8,151.0,Indonesia
H00267S,Kebon Sirih Arah Utara,-6.182776,106.8228,ChIJucx0Ryn0aS4RYWIOHRzMWa4,Kebon Sirih Arah Utara,3.8,178.0,Indonesia
H00268S,Kebon Sirih Arah Selatan,-6.184195,106.823232,ChIJ_T8rLin0aS4Rj3ux9GpKMY0,Wisma Mandiri,4.5,193.0,Indonesia
H00244S,Tegal Parang Arah Barat,-6.238863,106.83022,ChIJeRQxyMLzaS4RVAszpa00gS4,Tegal Parang Arah Barat,2.8,187.0,Indonesia
H00003P,Ancol,-6.127563,106.83039,ChIJwZnc2Roeai4RfkXmT9L8nbY,Ancol,3.8,361.0,"Kota Tua, RW.10, Ancol"
H00058P,Gambir,-6.174612,106.8304,ChIJ_1h7Zc31aS4Rla_k90yL_4I,Gambir,3.8,215.0,"RT.5/RW.2, Gambir"
H00078P,Istiqlal,-6.172252,106.83093,ChIJXZVZ6s31aS4Ri0IwMGkoPJM,Istiqlal,4.4,191.0,Gambir
H00265P,ASEAN,-6.239889,106.79897,ChIJ5-kTPmrxaS4R-TVlCPfQhOU,ASEAN,4.6,166.0,Indonesia
H00059P,Gambir 2,-6.178929,106.83106,ChIJVS93YDL0aS4RnG6dtA14ON4,Gambir 2,4.3,210.0,"RT.5/RW.2, Gambir"
H00243S,Tegal Parang Arah Timur,-6.239005,106.83106,ChIJQWfDwcLzaS4RWGQ_46b8ZVI,Tegal Parang Arah Timur,3.3,194.0,Indonesia
H00004P,Perintis Kemerdekaan,-6.171797,106.8888,ChIJ-Xw31SH1aS4RVE18eEDYZcs,Perintis Kemerdekaan,3.8,201.0,"Jalan Perintis Kemerdekaan No.31, RW.5, Kelapa Gading Barat"
H00002P,Pisangan,-6.205526,106.87378,ChIJOc_zf4X0aS4RjD_d3ceEb1Q,Pisangan,4.2,161.0,"RT.12/RW.5, Pisangan Timur"
H00001P,Petukangan D'MASIV,-6.236466,106.74786,ChIJwYXfocDwaS4R4IgXu124lvc,Petukangan D'MASIV,3.6,238.0,North Petukangan
H00006P,Balai Kota,-6.180488,106.82646,ChIJSXRtxy30aS4ROLOejFjgJ8s,Balai Kota,4.2,343.0,Gambir
H00275P,Kota,-6.13679,106.8149,ChIJe1ZKMwD2aS4RNWNCapdyyHE,Kota,3.9,181.0,Indonesia
H00011P,Bermis,-6.178203,106.89859,ChIJHSvIltn0aS4RcWiC22ov-Gs,Bermis,3.8,240.0,"RT.1/RW.3, East Kelapa Gading"
H00012P,Bidara Cina,-6.229724,106.86721,ChIJfW0UQ3bzaS4RZ2HH8KzEpBI,Bidara Cina,4.0,177.0,"RT.1/RW.3, Kampung Melayu, Jatinegara"
H00017P,Buaran,-6.215132,106.91768,ChIJ5e_NHaqMaS4Rxw9NZ7ypj4E,Buaran,4.0,174.0,"Jalan I Gusti Ngurah Rai RW.9, Jatinegara"
H00021P,Buncit Indah,-6.274333,106.83029,ChIJT2_2kU7zaS4RA7Enyue5pts,Halte Busway Buncit Indah,2.9,106.0,"RT.12/RW.5, Kalibata"
H00023P,Bundaran Senayan,-6.227869,106.80094,ChIJu7daWk_xaS4RiZVyDZanGFQ,Bundaran Senayan,4.3,281.0,Indonesia
H00024P,Cakung Cilincing,-6.184223,106.94231,ChIJq2GryRCLaS4R78QbrVx8RUA,Cakung Cilincing,,,Indonesia
H00025P,Cakung,-6.18324,106.92998,ChIJkcuoqjyLaS4RBFZtgSR0wB4,Cakung,,,Indonesia
H00031P,CBD Ciledug,-6.223629,106.70904,ChIJh0oO_hz6aS4RHy1h1cQmH5o,CBD Ciledug,3.8,206.0,Indonesia
H00033P,Cempaka Putih,-6.174207,106.87642,ChIJfTC8rgL1aS4RGoYyG5Gu3nY,Cempaka Putih,4.1,229.0,"12, East Cempaka Putih"
H00038P,Cipinang,-6.213664,106.88986,ChIJCcHrPqD0aS4RXaJE-9Sl48A,Cipinang,4.3,168.0,"RT.8/RW.8, Cipinang"
H00040P,Cipulir,-6.237818,106.76541,ChIJs9QacN7waS4RtsVX_2pHGRI,Cipulir,3.2,206.0,Indonesia
H00041P,CSW 1,-6.23994,106.79843,ChIJ4eu5QWrxaS4RpaGvVnk9hAI,CSW 1,3.6,169.0,Indonesia
H00264P,CSW 2,-6.239861,106.79783,ChIJjXgJQmrxaS4RnmSI5QHWHrQ,CSW 2,2.7,132.0,Indonesia
H00069P,Rasuna Said,-6.221618,106.832245,ChIJyxjSKPfzaS4RpG0ziQMbG5o,Rasuna Said,4.3,221.0,Indonesia
H00049P,Duren Tiga,-6.252377,106.82697,ChIJS-sXg9HzaS4ROLnn2O7-3uk,Duren Tiga,3.9,219.0,"Jalan Mampang Prapatan Raya RT.1/RW.6, Tegal Parang"
H00057P,Galur,-6.174388,106.85485,ChIJHa0jOa31aS4RHzeeu1ZxGSE,Galur 1,,,Indonesia
H00065P,Gedong Panjang,-6.132617,106.80596,ChIJyQEn1vkdai4RjZ0_TSqVQlQ,Jln. Gedong Panjang 1,4.9,106.0,Indonesia
H00066P,Gelanggang Remaja,-6.235445,106.86795,ChIJnYu3IHXzaS4RDR4LJevC5AQ,Gelanggang Remaja,3.9,176.0,"Jalan Otista Raya RT.13/RW.8, Bidara Cina"
H00067P,Senayan Bank Jakarta,-6.224217,106.8058,ChIJCSdpH07xaS4RriLxfHeikA4,Senayan Bank Jakarta,4.4,874.0,"Jalan Jenderal Sudirman, Indonesia"
H00068P,Glodok,-6.1445,106.81545,ChIJY5gYrwf2aS4RKFeQtAwsl7A,Glodok Plaza,4.9,175.0,Indonesia
H00073P,Halimun,-6.205137,106.83338,ChIJG3g5vBH0aS4RvD1M4RWimnM,Halimun,3.5,132.0,"RT.12/RW.6, Guntur"
H00081P,Jati Padang,-6.285431,106.82626,ChIJy3GVsRvyaS4RUkYGPmQpADU,Jati Padang,3.7,258.0,"Jalan Warung Jati Barat RT.3/RW.5, Jati Padang"
H00084P,Jembatan Baru,-6.154831,106.73038,ChIJFemJMPL3aS4RL_p7hKtT28w,Jembatan Baru,4.2,323.0,"Jakarta Barat, Halte Busway Jl. Daan Mogot RT.6/RW.1, Tim, Cengkareng Timur"
H00085P,Jembatan Besi,-6.152005,106.7949,ChIJAc0n_RX2aS4RU1Vq2HSh5zM,Jembatan Besi,3.8,257.0,"RT.10/RW.1, Jembatan Besi"
H00086P,Jembatan Dua,-6.143279,106.79352,ChIJtf8BciL2aS4RfNBxXx3TLT4,Jembatan Dua,3.6,242.0,Angke
H00094P,Kalideres,-6.154412,106.7055,ChIJo2cm_xP4aS4RcWTqo2CX4N4,Kalideres,3.6,994.0,"Jalan Daan Mogot, Cengkareng Timur"
H00095P,Kampung Melayu,-6.224673,106.86682,ChIJz6oKRHjzaS4RfdZszabxuC8,Kampung Melayu,3.7,688.0,Bali Mester
H00096P,Kampung Rambutan,-6.309885,106.88216,ChIJTcBJKm_taS4RoyUvnXov-KI,East Jakarta Kampung Rambutan Bus Station,,,Indonesia
H00097P,Kampung Sumur,-6.214412,106.91189,ChIJS63iqar0aS4RGkKuTZEfxlY,Kampung Sumur,3.8,177.0,"RT.14/RW.17, Klender, Duren Sawit"
H00013P,Cawang Cililitan,-6.257751,106.87,ChIJUYUOE_7yaS4Rj8uudozAfIA,Cawang Cililitan,4.4,272.0,Indonesia
H00018P,Lapangan Banteng,-6.166063,106.83906,ChIJaRx1ecj1aS4RcPCYC3mL01c,Lapangan Banteng,4.2,214.0,"RT.9/RW.7, South Gunung Sahari"
H00022P,Bundaran HI Astra,-6.193021,106.823,ChIJn1tXZSH0aS4RK24qqnrlmCk,Bundaran HI Astra,4.7,872.0,Indonesia
H00074P,Harmoni Lama,-6.165928,106.82044,ChIJlXfVLdj1aS4RlJRHDSqFWW8,Harmoni Lama,4.2,249.0,Indonesia
H00030P,Cawang Sentral,-6.250309,106.8736,ChIJc9xHYQTzaS4RphyibKIUl8g,Cawang Sentral,4.2,674.0,Indonesia
H00088P,Jembatan Merah,-6.146731,106.83427,ChIJO_0ta-71aS4RGWnM2HDoeYw,Jembatan Merah,4.0,235.0,"RT.16/RW.3, North Gunung Sahari"
H00045P,Pejambon,-6.173503,106.83472,ChIJn4mXYsz1aS4RqWtk2jaq_5c,Pejambon,4.2,188.0,"Jalan Abdul Rahman Saleh, Senen"
H00035P,Cempaka Mas,-6.166584,106.87591,ChIJyRoxJQX1aS4RjhDd73lNAJs,Cempaka Mas,4.1,231.0,"Jakarta Pusat, RW.8, Sumur Batu"
H00032P,Simpang Cempaka,-6.165888,106.8792,ChIJC7988xr1aS4R3AC4qJCk-KQ,Simpang Cempaka,3.9,203.0,"Jalan Jenderal Ahmad Yani, Kelapa Gading Barat"
H00034P,Cempaka Baru,-6.170398,106.86659,ChIJL_Q9tgD1aS4Rkok9ivsA_Es,Cempaka Baru,3.4,218.0,"JL. Let. Jend. Suprapto, Cempaka Baru, 10640 Jakarta Pusat, Indonesia"
H00141P,Pasar Baru,-6.166129,106.83483,ChIJi1TRWc_1aS4RuUVTJwlmnqQ,Halte Busway Pasar Baru,4.0,263.0,"Jalan Gedung Kesenian, Pasar Baru"
H00072P,Gunung Sahari,-6.136817,106.83237,ChIJ_6FTtPf1aS4R9L8CGOqM4gU,Gunung Sahari,3.8,192.0,Indonesia
H00046P,Pulo Nangka,-6.154634,106.7381,ChIJOx9HM-z3aS4R-M-nC7FMjQg,Pulo Nangka,3.9,260.0,East Cengkareng
H00077P,Damai,-6.163376,106.77514,ChIJ4fFuHxf4aS4R4MiGTpi4qAg,Damai,3.8,407.0,"Jalan Daan Mogot No.4, RW.5, Duri Kepa"
H00070P,Grogol,-6.166824,106.78971,ChIJP2WcO0P2aS4R96nO_KvkKPY,Grogol,4.0,394.0,"Kelurahan Jl. Kyai Tapa No.1 RT.1/RW.5, Grogol, Grogol"
H00048P,Dukuh Atas 2 (Archived),-6.2033,106.82378,ChIJ663qAxz0aS4R3x6eEyQE-RM,Sudirman,4.3,2860.0,"10, Jalan Kendal No.24, RW.6, Menteng"
H00082P,Jatinegara,-6.221412,106.86807,ChIJVWxjJ3nzaS4RNX3CvA5QjKY,Jatinegara,3.2,235.0,"Jalan Jatinegara Timur II No.9, RT.12/RW.2, Rawa Bunga, Jatinegara"
H00044P,Simpang Ragunan Ar-Raudhah,-6.294641,106.82213,ChIJT-SPaf_taS4R1883xobSFNc,Department Of Agriculture Busway Shelter,4.2,308.0,"Jalan Harsono RM, Ragunan"
H00075P,Warung Buncit,-6.256977,106.82808,ChIJ5XiJ6tLzaS4RNiBLWd4Uk74,Warung Buncit,4.1,180.0,"RT.2/RW.1, Duren Tiga, Pancoran"
H00202P,RSPAD,-6.175485,106.83674,ChIJiy8eScv1aS4RZxxnlcMsv_o,RSPAD,4.4,194.0,"RT.10/RW.5, Senen"
H00028P,Cawang Baru,-6.243607,106.86876,ChIJATFWGwnzaS4Rd_sqc0h4k-Q,Cawang Baru,3.7,188.0,"RT.11/RW.12, Kampung Melayu, Jatinegara"
H00060P,Makasar,-6.290154,106.88116,ChIJ2YttuJvyaS4RyNgOw_F4Ht0,Makasar,4.3,295.0,"Gang Madrasah, Pinang Ranti"
H00061S,Ciliwung Arah Timur,-6.243012,106.86354,ChIJTUcrFafzaS4RY2YitHiTMRs,Ciliwung Arah Timur,4.3,131.0,Indonesia
H00109S,Denpasar Arah Timur,-6.232602,106.82162,ChIJSdv2WuHzaS4R-h8iLjIpghU,Denpasar Arah Timur,3.9,177.0,"Jalan Gatot Subroto RT.6/RW.3, Kuningan, Kuningan Timur"
H00071P,Grogol Reformasi,-6.16717,106.78818,ChIJR3sBrUT2aS4Rpiauex2Hmoc,Grogol Reformasi,3.9,174.0,"RT.8/RW.1, North Tanjung Duren"
H00051P,Mambo,-6.11015,106.89242,ChIJvVo8WpQfai4RBc95hxaLKn4,Mambo,4.1,261.0,"Jalan Raya Pelabuhan No.Tanjung Priok, Tanjung Priok"
H00039P,Kebon Nanas,-6.231659,106.87637,ChIJu77oA3LzaS4RtVGD1vTHCvM,Kebon Nanas,4.0,163.0,"RT.12/RW.6, South Cipinang Besar"
H00029P,Simpang Cawang,-6.244771,106.87598,ChIJ1TsDww_zaS4RcSrqEVlmU3M,Simpang Cawang,4.0,171.0,"Jalan DI. Panjaitan RT.7/RW.11, Cipinang Cempedak"
H00055P,Simpang Buaran,-6.215982,106.92438,ChIJR1a30KeMaS4RGmErlHyEFbQ,Flyover Radin Inten 1,4.9,151.0,Indonesia
H00054P,Klender,-6.213596,106.90306,ChIJw9IqNKj0aS4RKm2OdLd7_LA,Flyover Klender,3.8,198.0,"Jalan I Gusti Ngurah Rai RT.2/RW.1, Klender"
H00076P,Flyover Cipinang,-6.214632,106.88227,ChIJ5w-E5J30aS4RTHEpHCoBWko,Flyover Cipinang,4.3,165.0,"RT.9/RW.9, East Pisangan"
H00203S,Pancoran Arah Barat,-6.241672,106.8372,ChIJxVqzOcHzaS4RUj869AQXuYQ,Pancoran Arah Barat,3.4,145.0,Indonesia
H00100P,Kayu Putih Rawasari,-6.187453,106.87542,ChIJdx97NfD0aS4Rses4poA1uiw,Kayu Putih Rawasari,3.9,145.0,Indonesia
H00101P,Kebayoran Lama,-6.23834,106.77752,ChIJ6QAkESLxaS4RycRdtcGgw5o,Jalan Makam,4.9,152.0,Indonesia
H00266P,Kejaksaan Agung,-6.2405,106.79844,ChIJZcfRRmrxaS4RP_cmNzkltTg,Kejaksaan Agung,4.0,154.0,Indonesia
H00107P,Kelapa Dua Sasak,-6.205551,106.76953,ChIJYSh0bif3aS4RsmNBBd4PCHU,Kelapa Dua Sasak,4.0,269.0,"RT.2/RW.2, Kelapa Dua"
H00005P,Senen Raya,-6.176251,106.84023,ChIJr6zwSTX0aS4R9c7F06URpEs,RSPAD 1,4.6,137.0,Indonesia
H00112P,Kramat Sentiong,-6.18798,106.84595,ChIJUWMqYUb0aS4RM91aKkK4UYI,Kramat Sentiong,4.2,218.0,"RT.1/RW.8, Kramat, Senen"
H00116P,Kwitang,-6.181051,106.83866,ChIJKaLlfzb0aS4RFEMwtJw0Xlw,Kwitang,4.3,227.0,"RT.1/RW.5, Senen"
H00121P,Layur,-6.193539,106.89909,ChIJXSJDk8f0aS4R67gkBrf3Pig,Layur 1,4.5,171.0,"Jalan Pemuda RT.12/RW.4, Jati"
H00122P,Lebak Bulus,-6.289413,106.77415,ChIJg1Xdls3xaS4RHyPoMz3Ioio,Lebak Bulus 1,3.7,460.0,Indonesia
H00123P,Mampang Prapatan,-6.242699,106.82572,ChIJyTksjNvzaS4RjF6LeUvypes,Mampang Prapatan,3.8,293.0,"Jalan Mampang Prapatan Raya RT.6/RW.6, Mampang Prapatan"
H00125P,Mangga Dua,-6.136148,106.82597,ChIJue1Shfj1aS4Rvtv3xDwDwkg,Mangga Dua,4.1,227.0,"Kota Tua, RT.11/RW.5, Ancol"
H00127P,Masjid Agung,-6.236483,106.79845,ChIJJaepo0HxaS4R11jamnHPoIE,Masjid Agung,4.9,187.0,Indonesia
H00130P,Mayestik,-6.241921,106.79077,ChIJDTpLThTxaS4Rjy1PSVeM4-g,Mayestik,4.1,217.0,Indonesia
H00134P,Pademangan,-6.133704,106.83164,ChIJ-XYFER0eai4RS03nVtDwzBw,Pademangan,3.6,198.0,"RT.1/RW.13, West Pademangan"
H00135P,Pakin,-6.127982,106.80474,ChIJJdHVZ_Adai4ReNcfuoS5xsY,Pakin,3.5,212.0,"RT.2/RW.4, Penjaringan"
H00136P,Pal Putih,-6.184631,106.84402,ChIJYYTHXkj0aS4R-AwFaY5wyWM,Pal Putih,4.1,249.0,"RT.3/RW.4, Kramat, Senen"
H00142P,Pasar Baru Timur,-6.162272,106.83811,ChIJe_CN48b1aS4R-Oj18xvg_ZM,Pasar Baru Timur,3.9,207.0,"Jalan Gunung Sahari, Daerah Khusus Ibukota Jakarta, Indonesia|Jalan Pos, Pasar Baru, Sawah Besar"
H00144P,Pasar Cempaka Putih,-6.172325,106.86246,ChIJfYhGUar1aS4REyOhy3XOCII,Pasar Cempaka Putih,4.2,201.0,Indonesia
H00145P,Pasar Enjo,-6.214881,106.87819,ChIJP5KyQp30aS4Rcl-RBdSlSYQ,Pasar Enjo,4.1,179.0,"RT.8/RW.9, East Pisangan"
H00146P,Pasar Genjing,-6.194446,106.86092,ChIJU2pCP170aS4Ry4fR_5iilHA,Pasar Genjing,4.1,210.0,"Jalan Pramuka Raya RT.7/RW.2, Rawasari"
H00152P,Pasar Pulo Gadung,-6.187434,106.90591,ChIJrRXwm870aS4R1uUb4LtJQcc,Pasar Pulo Gadung,4.2,178.0,Indonesia
H00153P,Pasar Rumput,-6.207125,106.84112,ChIJQ-PgTw30aS4RD_O8M5raer0,Pasar Rumput,4.0,366.0,"Jalan Pasar rumput RT.1/RW.3, Pasar Manggis"
H00155P,Pecenongan,-6.16771,106.82819,ChIJYbJnP9D1aS4RK2KKUH310gQ,Pecenongan,3.8,239.0,Indonesia
H00157P,Pedongkelan,-6.167962,106.88246,ChIJtfoG3xv1aS4RM7I3fi_wgG0,Pedongkelan,4.2,182.0,"RT.7/RW.2, Kelapa Gading Barat, Kelapa Gading"
H00158P,Pejaten,-6.278404,106.82972,ChIJl61rVT3yaS4Rbs8u05uvovI,Pejaten,3.9,255.0,Jl. Warung Jati Bar.
H00160P,Pemuda Pramuka,-6.192795,106.87498,ChIJIXiOw_L0aS4RP_oaEw23bSI,Pemuda Pramuka,4.2,164.0,"Jenderal Ahmad Yani RW.9, Utan Kayu Utara"
H00161P,Pemuda Rawamangun,-6.193488,106.89165,ChIJz4PL9MD0aS4RbE7ikdKGQVM,Pemuda Rawamangun 1,3.8,182.0,Indonesia
H00139P,Pancoran Tugu,-6.2433,106.84388,ChIJCXvs3bjzaS4Rv7-EFbcXG4w,Pancoran Tugu,4.3,190.0,Indonesia
H00164P,Penjaringan,-6.126306,106.79203,ChIJGyzUgpIdai4RRkoFeRG8B94,Penjaringan,3.5,222.0,Indonesia
H00166P,Permata Hijau,-6.221427,106.78325,ChIJox1mYzLxaS4RXKBrf6_4vNE,Permata Hijau,4.1,254.0,"RT.4/RW.2, Grogol Utara"
H00169P,Pesakih,-6.154803,106.71527,ChIJdYJoexn4aS4RBkLxHMJ5RGM,Pesakih,4.4,233.0,"RT.2/RW.12, Kalideres"
H00170P,Petojo,-6.169984,106.81698,ChIJ84oyl3j2aS4RRCn4YOwsxos,Petojo,3.6,171.0,"RT.7/RW.7, South Petojo"
H00173P,Pinang Ranti,-6.291075,106.88634,ChIJQcdIxZjyaS4RBnK8U6o-Qrw,Pinang Ranti,4.2,543.0,"Jalan Raya Pondok Gede No.18, Pinang Ranti"
H00174P,Pluit,-6.115795,106.79037,ChIJ-xKtLb4dai4RRidKpAub7as,Pluit,4.1,157.0,"RT.15/RW.4, Pluit"
H00176P,Polda Metro Jaya,-6.221094,106.81028,ChIJvdCSt1PxaS4Rynz0-nrQJ0o,Polda Metro Jaya,4.1,311.0,Gelora
H00179P,Pondok Pinang,-6.28217,106.77204,ChIJV_fNI8vxaS4RXE8NlW1a9k0,Pondok Pinang Busway Stop,4.0,257.0,"Jl Ciiputat Raya, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
H00180P,Pos Pengumben,-6.212935,106.77226,ChIJMZyFbNb2aS4RAC5h0E_PCyE,Pos Pengumben,3.6,151.0,"RT.6/RW.9, North Sukabumi"
H00183P,Rawa Terate,-6.182622,106.91561,ChIJIbI7mS2LaS4R2Pml8QtK9Lg,Rawa Terate,4.2,169.0,Indonesia
H00186P,Pulo Gebang,-6.213275,106.953327,ChIJg-ny5X2LaS4RKJoGP2tOe0U,Pulo Gebang,3.4,184.0,Indonesia
H00187P,Pulo Mas,-6.174736,106.89277,ChIJS5XiZt_0aS4RqAnZsLVHtOw,Pulo Mas 1,4.6,159.0,Indonesia
H00188P,Pulo Mas Bypass,-6.176953,106.876,ChIJB-0cKP30aS4R2kRMliKNXgg,Pulo Mas Bypass,4.2,223.0,"RT.6/RW.11, Kayu Putih"
H00190P,Puri Beta 2,-6.230532,106.72371,ChIJKS9mAajwaS4RpTCaaCIhLbE,Puri Beta 2,3.9,448.0,"Unnamed Road, Karang Timur"
H00191P,Ragunan,-6.305769,106.81949,ChIJRYVilf3taS4RTMc3W2UG_Uc,Ragunan,4.5,129.0,Indonesia
H00192P,Rawa Barat,-6.238947,106.81624,ChIJ40debGDxaS4RyjtCW0QL3ck,Rawa Barat,4.3,237.0,Indonesia
H00098P,Karet Kuningan,-6.21667,106.830737,ChIJX_P04PfzaS4RTjpMW-XvIC0,Karet Kuningan 1,3.7,175.0,Indonesia
H00114P,Kuningan Madya,-6.213414,106.830472,ChIJ2yIfuQj0aS4RsJqzMmLHi2w,Kuningan Madya,4.0,225.0,"Jalan Hr. Rasuna Said,Jaksel., RT.3/RW.1, Karet, Kecamatan Setiabudi"
H00124P,Mangga Besar Lama,-6.15217,106.81736,ChIJef9bDwr2aS4Rsb__TaEeabI,Mangga Besar 1,3.9,114.0,Indonesia
H00099P,Karet,-6.212457,106.82003,ChIJ1X12iAH0aS4RCtA0GlfbM5I,Karet,4.2,432.0,"Jl. Jend. Sudirman No.Kav 25, Kota SelatanSetia Budi,, Karet, Kecamatan, Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia"
H00132P,Museum Sejarah Jakarta,-6.13393,106.81209,ChIJe037LP8dai4RUNQ1CnZ5xtc,Museum Sejarah Jakarta,4.4,376.0,"Kota Tua, RT.7/RW.7, Pinangsia"
H00182P,Pramuka Sari,-6.192238,106.86858,ChIJpfxBr_X0aS4R4SEXVihcV0c,Pramuka Sari,4.2,230.0,"Jalan Pramuka RT.6/RW.8, Utan Kayu Utara"
H00115P,Underpass Kuningan,-6.234731,106.82902,ChIJ_0OCLebzaS4RqBTKmxMqvbQ,Underpass Kuningan,4.0,124.0,Indonesia
H00118P,Flyover Kuningan,-6.202761,106.82771,ChIJ0cmLOxr0aS4RoINyIYYosnc,Flyover Kuningan,4.0,206.0,"JL. H.R. Rasuna Said, Menteng, 10310 Jakarta Pusat, Indonesia"
H00147P,Pasar Induk,-6.294215,106.87203,ChIJCziryIPyaS4RxPo7pIoXsWs,Pasar Induk,3.8,390.0,"9, RW.7, Rambutan"
H00150P,Kramat Jati,-6.268822,106.86663,ChIJp3hEuPfyaS4RUG_5wb-OeuE,Kramat Jati,4.3,248.0,Indonesia
H00177P,Underpass Lebak Bulus,-6.286761,106.77999,ChIJH5oh_M7xaS4RYRGTv6pJhyE,Underpass Lebak Bulus,3.9,174.0,Pondok Pinang
H00178P,Pondok Indah,-6.267231,106.78365,ChIJ9zySdaXxaS4RKqmzWFRGne0,Pondok Indah,4.1,289.0,"Jalan Nasional 12, RT.1/RW.16, Pondok Pinang, Kebayoran Lama"
H00149P,Kebayoran,-6.238413,106.78323,ChIJkZUYWj3xaS4Rh2C2cMBvDvY,Kebayoran,3.9,490.0,"12230, Jalan Sultan Iskandar Muda, Kebayoran Lama Utara"
H00167P,Arteri,-6.218401,106.77761,ChIJzbHgTtP2aS4RLZmsbMBywr0,Arteri,3.5,153.0,"RT.7/RW.8, South Sukabumi"
H00105P,Kedoya Panjang,-6.174495,106.76585,ChIJz4D5wav3aS4RHEsRX5ZWSkk,Kedoya Panjang,4.2,212.0,"RT.5/RW.11, Kedoya Utara, Kebon Jeruk"
H00106P,Kedoya,-6.164435,106.76301,ChIJF9GUFbH3aS4REHM_pSt5n48,Kedoya,3.9,217.0,"Jalan Panjang, Kedoya Utara, Kebon Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520"
H00198S,Pancoran Arah Timur,-6.241571,106.83808,ChIJjcowJMHzaS4RbvhNNQpvOMw,Pancoran Arah Timur,2.3,181.0,Indonesia
H00165P,Koja,-6.11413,106.89309,ChIJTydXR-sfai4REoflV1JT8mU,Koja,4.3,183.0,Indonesia
